date,dividend_receivable,market_value,total_cash,total_value,transaction_cost
2005-06-01,0,0.0,1000000.0,1000000.0,0.0
2005-06-02,0,0.0,1000000.0,1000000.0,0.0
2005-06-03,0,0.0,1000000.0,1000000.0,0.0
2005-06-06,0,0.0,1000000.0,1000000.0,0.0
2005-06-07,0,0.0,1000000.0,1000000.0,0.0
2005-06-08,0,999460.0,-259.568,999200.432,799.568
2005-06-09,0,997920.0,-259.568,997660.432,0.0
2005-06-10,0,1013320.0,-259.568,1013060.432,0.0
2005-06-13,0,1001000.0,-259.568,1000740.432,0.0
2005-06-14,0,984060.0,-259.568,983800.432,0.0
2005-06-15,0,957880.0,-259.568,957620.432,0.0
2005-06-16,0,980980.0,-259.568,980720.432,0.0
2005-06-17,0,980980.0,-259.568,980720.432,0.0
2005-06-20,0,984060.0,-259.568,983800.432,0.0
2005-06-21,0,984060.0,-259.568,983800.432,0.0
2005-06-22,0,997920.0,-259.568,997660.432,0.0
2005-06-23,0,959420.0,-259.568,959160.432,0.0
2005-06-24,0,968660.0,-259.568,968400.432,0.0
2005-06-27,0,988680.0,-259.568,988420.432,0.0
2005-06-28,0,0.0,960507.932,960507.932,1732.5
2005-06-29,0,0.0,960507.932,960507.932,0.0
2005-06-30,0,0.0,960507.932,960507.932,0.0
2005-07-01,0,0.0,960507.932,960507.932,0.0
2005-07-04,0,0.0,960507.932,960507.932,0.0
2005-07-05,0,0.0,960507.932,960507.932,0.0
2005-07-06,0,0.0,960507.932,960507.932,0.0
2005-07-07,0,0.0,960507.932,960507.932,0.0
2005-07-08,0,0.0,960507.932,960507.932,0.0
2005-07-11,0,0.0,960507.932,960507.932,0.0
2005-07-12,0,0.0,960507.932,960507.932,0.0
2005-07-13,0,0.0,960507.932,960507.932,0.0
2005-07-14,0,0.0,960507.932,960507.932,0.0
2005-07-15,0,0.0,960507.932,960507.932,0.0
2005-07-18,0,0.0,960507.932,960507.932,0.0
2005-07-19,0,0.0,960507.932,960507.932,0.0
2005-07-20,0,959982.0,-242.054,959739.946,767.986
2005-07-21,0,958324.0,-242.054,958081.946,0.0
2005-07-22,0,986510.0,-242.054,986267.946,0.0
2005-07-25,0,984852.0,-242.054,984609.946,0.0
2005-07-26,0,996458.0,-242.054,996215.946,0.0
2005-07-27,0,1006406.0,-242.054,1006163.946,0.0
2005-07-28,0,998116.0,-242.054,997873.946,0.0
2005-07-29,0,983194.0,-242.054,982951.946,0.0
2005-08-01,0,983194.0,-242.054,982951.946,0.0
2005-08-02,0,998116.0,-242.054,997873.946,0.0
2005-08-03,0,1011380.0,-242.054,1011137.946,0.0
2005-08-04,0,1001432.0,-242.054,1001189.946,0.0
2005-08-05,0,1031276.0,-242.054,1031033.946,0.0
2005-08-08,0,1034592.0,-242.054,1034349.946,0.0
2005-08-09,0,1039566.0,-242.054,1039323.946,0.0
2005-08-10,0,1044540.0,-242.054,1044297.946,0.0
2005-08-11,0,1072726.0,-242.054,1072483.946,0.0
2005-08-12,0,1027960.0,-242.054,1027717.946,0.0
2005-08-15,0,1044540.0,-242.054,1044297.946,0.0
2005-08-16,0,1019670.0,-242.054,1019427.946,0.0
2005-08-17,0,1026302.0,-242.054,1026059.946,0.0
2005-08-18,0,0.0,996077.338,996077.338,1796.609
2005-08-19,0,0.0,996077.338,996077.338,0.0
2005-08-22,0,0.0,996077.338,996077.338,0.0
2005-08-23,0,0.0,996077.338,996077.338,0.0
2005-08-24,0,0.0,996077.338,996077.338,0.0
2005-08-25,0,0.0,996077.338,996077.338,0.0
2005-08-26,0,0.0,996077.338,996077.338,0.0
2005-08-29,0,0.0,996077.338,996077.338,0.0
2005-08-30,0,0.0,996077.338,996077.338,0.0
2005-08-31,0,0.0,996077.338,996077.338,0.0
2005-09-01,0,995707.0,-426.228,995280.772,796.566
2005-09-02,0,990958.0,-426.228,990531.772,0.0
2005-09-05,0,998873.0,-426.228,998446.772,0.0
2005-09-06,0,973545.0,-426.228,973118.772,0.0
2005-09-07,0,983043.0,-426.228,982616.772,0.0
2005-09-08,0,1000456.0,-426.228,1000029.772,0.0
2005-09-09,0,989375.0,-426.228,988948.772,0.0
2005-09-12,0,987792.0,-426.228,987365.772,0.0
2005-09-13,0,1002039.0,-426.228,1001612.772,0.0
2005-09-14,0,1009954.0,-426.228,1009527.772,0.0
2005-09-15,0,994124.0,-426.228,993697.772,0.0
2005-09-16,0,997290.0,-426.228,996863.772,0.0
2005-09-19,0,994124.0,-426.228,993697.772,0.0
2005-09-20,0,0.0,969786.24,969786.24,1749.532
2005-09-21,0,0.0,969786.24,969786.24,0.0
2005-09-22,0,0.0,969786.24,969786.24,0.0
2005-09-23,0,0.0,969786.24,969786.24,0.0
2005-09-26,0,0.0,969786.24,969786.24,0.0
2005-09-27,0,0.0,969786.24,969786.24,0.0
2005-09-28,0,0.0,969786.24,969786.24,0.0
2005-09-29,0,0.0,969786.24,969786.24,0.0
2005-09-30,0,0.0,969786.24,969786.24,0.0
2005-10-10,0,0.0,969786.24,969786.24,0.0
2005-10-11,0,0.0,969786.24,969786.24,0.0
2005-10-12,0,0.0,969786.24,969786.24,0.0
2005-10-13,0,0.0,969786.24,969786.24,0.0
2005-10-14,0,0.0,969786.24,969786.24,0.0
2005-10-17,0,0.0,969786.24,969786.24,0.0
2005-10-18,0,0.0,969786.24,969786.24,0.0
2005-10-19,0,0.0,969786.24,969786.24,0.0
2005-10-20,0,0.0,969786.24,969786.24,0.0
2005-10-21,0,0.0,969786.24,969786.24,0.0
2005-10-24,0,0.0,969786.24,969786.24,0.0
2005-10-25,0,0.0,969786.24,969786.24,0.0
2005-10-26,0,0.0,969786.24,969786.24,0.0
2005-10-27,0,0.0,969786.24,969786.24,0.0
2005-10-28,0,0.0,969786.24,969786.24,0.0
2005-10-31,0,0.0,969786.24,969786.24,0.0
2005-11-01,0,0.0,969786.24,969786.24,0.0
2005-11-02,0,0.0,969786.24,969786.24,0.0
2005-11-03,0,0.0,969786.24,969786.24,0.0
2005-11-04,0,0.0,969786.24,969786.24,0.0
2005-11-07,0,0.0,969786.24,969786.24,0.0
2005-11-08,0,0.0,969786.24,969786.24,0.0
2005-11-09,0,0.0,969786.24,969786.24,0.0
2005-11-10,0,0.0,969786.24,969786.24,0.0
2005-11-11,0,0.0,969786.24,969786.24,0.0
2005-11-14,0,0.0,969786.24,969786.24,0.0
2005-11-15,0,0.0,969786.24,969786.24,0.0
2005-11-16,0,0.0,969786.24,969786.24,0.0
2005-11-17,0,969576.0,-565.42,969010.58,775.661
2005-11-18,0,986646.0,-565.42,986080.58,0.0
2005-11-21,0,979818.0,-565.42,979252.58,0.0
2005-11-22,0,955920.0,-565.42,955354.58,0.0
2005-11-23,0,966162.0,-565.42,965596.58,0.0
2005-11-24,0,972990.0,-565.42,972424.58,0.0
2005-11-25,0,1003716.0,-565.42,1003150.58,0.0
2005-11-28,0,988353.0,-565.42,987787.58,0.0
2005-11-29,0,986646.0,-565.42,986080.58,0.0
2005-11-30,0,996888.0,-565.42,996322.58,0.0
