date,annualized_returns,cash,daily_pnl,daily_returns,market_value,static_unit_net_value,total_returns,total_value,unit_net_value,units
2005-06-01,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2005-06-02,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2005-06-03,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2005-06-06,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2005-06-07,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2005-06-08,-0.036,-259.568,-799.568,-0.001,999460.0,1.0,-0.001,999200.432,0.999,1000000
2005-06-09,-0.091,-259.568,-1540.0,-0.002,997920.0,0.999,-0.002,997660.432,0.998,1000000
2005-06-10,0.606,-259.568,15400.0,0.015,1013320.0,0.998,0.013,1013060.432,1.013,1000000
2005-06-13,0.021,-259.568,-12320.0,-0.012,1001000.0,1.013,0.001,1000740.432,1.001,1000000
2005-06-14,-0.347,-259.568,-16940.0,-0.017,984060.0,1.001,-0.016,983800.432,0.984,1000000
2005-06-15,-0.651,-259.568,-26180.0,-0.027,957880.0,0.984,-0.042,957620.432,0.958,1000000
2005-06-16,-0.359,-259.568,23100.0,0.024,980980.0,0.958,-0.019,980720.432,0.981,1000000
2005-06-17,-0.342,-259.568,0.0,0.0,980980.0,0.981,-0.019,980720.432,0.981,1000000
2005-06-20,-0.258,-259.568,3080.0,0.003,984060.0,0.981,-0.016,983800.432,0.984,1000000
2005-06-21,-0.247,-259.568,0.0,0.0,984060.0,0.984,-0.016,983800.432,0.984,1000000
2005-06-22,-0.038,-259.568,13860.0,0.014,997920.0,0.984,-0.002,997660.432,0.998,1000000
2005-06-23,-0.484,-259.568,-38500.0,-0.039,959420.0,0.998,-0.041,959160.432,0.959,1000000
2005-06-24,-0.386,-259.568,9240.0,0.01,968660.0,0.959,-0.032,968400.432,0.968,1000000
2005-06-27,-0.146,-259.568,20020.0,0.021,988680.0,0.968,-0.012,988420.432,0.988,1000000
2005-06-28,-0.409,960507.932,-27912.5,-0.028,0.0,0.988,-0.039,960507.932,0.961,1000000
2005-06-29,-0.398,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-06-30,-0.388,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
